Arabic,English
أسمه,His name
الأصلي,Original
وصف,a description
الورقة,The paper
تريدها,You want it
ويمكنك,And you can
الأخرين,others
المنافسة,Competition
تستمتع,Enjoy
قتلهم,kill them
يومياً,daily
اربعة,four
اختار,to choose
صادقة,honest
الآباء,parents
النوافذ,Windows
ديانا,Diana
ميا,Mia
نتصل,We call
أصبحنا,We have become
لهُ,for him
بحياة,In life
شركاء,partners
أحمد,Ahmed
نقص,loss
اس,S
تسرق,steal
البرد,cold
كاثي,Cathy
زميل,peer
ممرضة,nurse
المجرم,The criminal
عجب,wonder
التعليم,education
اللجنة,Committee
ليلا,At night
الشريرة,The evil one
ستأخذ,You will take
فون,Phone
النفق,The tunnel
عميلة,Client
لنقم,Let's do it
علاقات,Relationships
لقول,To say
مسبقا,pre-
رواية,a novel
الحسابات,the accounts
بأشياء,with things
أعطيتني,You gave me
اشكرك,I thank you
ثانياً,secondly
القاعة,The hall
مسرحية,a play
أقلق,worry
بداخلي,Inside me
مي,May
رجُل,man
أدريان,Adrian
العشرين,Twenty
ستبدأ,It will start
الدرس,The lesson
أخبريه,Tell him
تخمين,guess
وظيفتك,Your job
الإسعاف,ambulance
إهانة,insult
بري,Wild
أشعة,rays
الأعضاء,Members
تام,complete
جسر,bridge
العلماء,Scientists
رائحته,Its smell
والدى,my father
الخطاب,The speech
الانتقال,Moving
مـع,With
الاحتفاظ,Keep
كبرت,I grew up
نظري,theoretical
سارا,Sara
اخري,Other
تمثل,Represents
العصر,The era
أنـت,You
حجز,reservation
فيغاس,Vegas
ويندي,Wendy
جديده,New
جولز,Jules
التقنية,Technology
تبيع,Sell
الغربية,Western
الكأس,The cup
خبز,bread
مصادفة,coincidence
الأهم,The most important
لطف,kindness
افتحي,Open
لأنّني,Because I
سيرينا,Serena
جنسي,sexual
سابقة,precedent
الطرف,The party
نتحدّث,We talk
أحتفظ,keep
الغباء,stupidity
يضرب,He hits
يزداد,It increases
بداخلك,Inside you
يفقد,lose
حيا,alive
أعدكِ,I promise you
سيجارة,cigarette
ثلاثون,thirty
قلتَ,I said
توقيت,timing
زواجنا,Our marriage
أيه,any
داخلية,Interior
البار,bar
غريبا,Strange
سـ,S
الإمساك,constipation
بحذر,cautiously
مفيدة,Useful
المصنع,Factory
وجدناه,We found it
جدياً,seriously
انتهي,I finish
ترجع,Come back
يقم,He stands
أتمنّى,I hope
الأيمن,Right
احيانا,sometimes
يستطيعوا,They can
أحس,feel
الدخان,smoke
حولنا,Around us
حمداً,Thank you
وعشرون,Twenty
المحمول,Mobile
قصد,Intended
مخطط,a plan
مخلوق,creature
الكاهن,The priest
المهنية,Professional
باستمرار,constantly
طعم,taste
أحببته,I loved it
عامة,General
قصدت,I meant
بيض,egg
نأتي,We come
خذني,Take me
أسرعي,Hurry up
إيان,Ian
ظƒظ,ظƒظ
كُنّا,We were
ف,F
يخطط,planning
ياصاح,My friend
سيف,sword
ملائم,suitable
العمال,workers
قالَ,He said
المثالية,Ideal
إنتبه,I notice
وانه,And he
يرجى,Please
رقص,dance
التدخل,Intervention
الفدرالي,federal
جنازة,funeral
تحصلي,You get it
مخزن,store
اقترب,Come closer
الموسيقية,Musical
سنموت,We will die
يحبني,He loves me
بالبرد,In the cold
غيبز,Gibbs
بحيرة,lake
الأيدي,hands
ساخنة,hot
القوم,The people
سألتني,She asked me
بأنكم,That you
قررنا,We decided
المشاركة,Participation
فأن,Then
نيد,Ned
تجدي,You find it
سلة,basket
جعلها,make it
مخطئاً,wrong
أجده,I find it
حرة,Free
الساحر,The magician
لـن,No
يثق,trust
الدولارات,dollars
الصعود,Ascent
اتجاه,direction
البرية,The wilderness
غرب,west
صالة,Hall
براندون,Brandon
بروكلين,Brooklyn
العد,count
السكان,population
فستان,dress
جوناثان,Jonathan
اعدك,I promise you
.من,.from
حالها,Her condition
أمكِ,Your mother
فربما,Maybe
حاد,sharp
الذرة,maize
راج,Raj
طھظ,Tahz
عثر,Found
ضربات,strokes
أتي,came
كارلا,Carla
الإهتمام,interest
الصحة,health
الاستخبارات,Intelligence
مشاعرك,Your feelings
الأثناء,Meanwhile
سأترك,I will leave
لثلاثة,For three
الفطائر,pies
كافٍ,enough
ذوي,People with
إياك,Don't
أره,I see him
محزن,sad
دقيق,precise
باهر,dazzling
كُنتُ,I was
جناح,wing
عرفته,I knew him
بشري,human
تنظري,Look
المعرض,Exhibition
بوارو,Poirot
لص,thief
شبه,semi
سيبدأ,It will start
نسيان,amnesia
الخيارات,Options
النووية,nuclear
تفكير,thinking
تفكري,Think
ومتى,And when?
بولي,Polly
مغفل,dupe
أرادوا,They wanted
تارا,Tara
التمثيل,representation
للروعة,For the wonderful
سأصبح,I will become
القط,The cat
أريدكم,I want you
كيث,Keith
جونغ,Jung
قطة,cat
لأنى,Because I
القطة,The cat
جلست,I sat down
بحال,In a state
حوالى,about
القمة,The summit
فورد,Ford
فأنتِ,You are
فو,Fu
أسمك,your name
أمنية,A wish
يساعدك,Helps you
بطولة,championship
نام,Sleep
فور,Four
تفضلوا,Please
السجناء,prisoners
منطقياً,Logically
أينَ,where
حقيقةً,fact
سبتمبر,September
دافع,motive
ضدي,Against me
حراس,guards
يقدر,It is estimated
تشعري,You feel
تعتني,Take care
عيناك,Your eyes
الزر,The button
العلامة,The mark
سيجعل,will make
المعدات,Equipment
أتتذكر,Do you remember?
أزمة,crisis
بيّ,with me
اقتل,kill
المخزن,The warehouse
قدمك,Your foot
ممتعا,enjoyable
إلغاء,cancellation
القبعة,hat
ثلاثه,three
نظن,We think
بقعة,spot
بجنون,insanely
احدا,Someone
تدين,Religious
إقامة,stay
الزبائن,customers
السحرية,Magical
السم,poison
احترس,beware
أحلام,dreams
جانبا,aside
بينيت,Bennett
قراري,My decision
مضطرة,Forced
تتعلق,Related
ربع,a fourth
بعملية,In operation
جيدين,Good
البرج,The tower
صحة,health
الاعتراف,recognition
الذهبية,Golden
لترى,To see
حفظ,save
طرح,Subtract
موتى,dead
لدية,He has
يتحول,turns
ابنته,His daughter
شقيق,brother
جرس,bell
غيره,jealousy
سهلا,Easy
شيك,check
لإطلاق,To launch
المدرسه,the school
بالراحة,Take it easy
بنهاية,By the end
القتلة,The killers
الانضمام,Join
امم,Nations
عقب,After
الآلاف,thousands
اسابيع,Weeks
نموذج,model
أعلمُ,Know
يقتلني,It kills me
بغرابة,oddly
هال,Hal
ج,C
أسطورة,legend
رالف,Ralph
لايزال,Still
الأخت,Sister
كروز,Cruz
الأتصال,Contact
ينفع,It is useful
دوايت,Dwight
لغرفة,For the room
خسر,lost
صغيري,My little one
تبتعد,move away
نريده,We want it
رجلك,Your man
مجنوناً,crazy
فريقي,My team
بعناية,carefully
الأوّل,the first
بمقابلتك,By meeting you
أيمكنكِ,Can you?
يَذْهبُ,He goes
اتركني,leave me
تجيب,Answer
الفهم,Understanding
سيئه,Bad
تحدثي,Speak up
مزيفة,fake
عصا,a stick
ياصديقي,My friend
ارغب,I want
لازالت,Still
فتيان,boys
عالمي,worldwide
بالمر,Palmer
تقرر,It was decided
يفلح,succeed
خائفا,scared
العروس,The bride
بالـ,By the
والدتها,Her mother
الإحترام,respect
مصاصي,Vampires
للتأكد,To make sure
أمريكية,American
الأثنين,Monday
ولدينا,And we have
الأسباب,Reasons
نتناول,We eat
هائل,enormous
الأسماك,fish
أحدًا,Someone
رجعت,I'm back
بالمدرسة,At school
المملكة,Kingdom
بارعة,brilliant
بشعور,With feeling
مركبة,vehicle
لايجب,It is not necessary
لأفعل,to do
شجاع,brave
الميدان,The field
تعتقدون,You think
اهدئي,Calm down
ليف,fiber
الفلم,The movie
سياسة,policy
تتحول,It turns
تصدقني,Believe me
التجارب,experiments
مسح,to survey
مفاجئة,Surprise
فهناك,There is
مقاومة,resistance
فك,Unlock
غيبوبة,coma
المجانين,crazy people
متحمسة,excited
اجلب,Bring
الصدمة,shock
السلالم,stairs
سراحه,Release him
العطلة,holiday
دمرت,destroyed
خطورة,gravity
نقدم,We offer
أمتلك,I own
نايت,Knight
حقل,field
تطير,Fly
بالبيت,At home
جريج,Greg
مرضى,patients
قوياً,strong
الساحة,The square
اريده,I want it
للحفاظ,To maintain
وشم,tattoo
الخلايا,cells
ربطة,tie
مسؤولية,responsible
الهبوط,landing
لتغيير,To change
رسمية,Official
أستيقظ,I wake up
فكرتك,Your idea
وستكون,And it will be
خلفنا,Behind us
.حسناً,.Good
امريكا,America
يَكُونُ,He is
آرون,Aaron
ترفض,Refuse
أزرق,blue
الروك,Rock
الرعب,horror
أمكنك,You can
كلاوس,Klaus
امس,yesterday
التحية,Greetings
ضيق,narrow
تماسك,coherence
متورط,involved
بدل,instead
بإطلاق,By launching
اعيش,I live
التجارة,commerce
مالأمر,What's the matter?
الحفرة,The hole
خوف,fear
أيدي,hands
الميناء,port
يخبرنا,Tells us
ملازم,lieutenant
لَهُ,for him
التوتر,stress
كندا,Canada
الغابات,forests
يؤمن,Believes
تَستطيعُ,You can
إبق,fugitive
أغرب,Strangest
الوكالة,Agency
هَل,Do
للوراء,Back
الهوية,Identity
دايفيد,David
حساسية,sensitive
أتعني,Do you mean?
مونرو,Monroe
ذاكرة,memory
مايو,May
نستطع,We can
هيون,Hyun
قصارى,Ultimate
جانيت,Janet
نعيد,We repeat
قلم,pen
خيارات,Options
يبيع,He sells
ظريف,cute
دولة,nation
ليديا,Lydia
تفعلى,Do it
الأشعة,rays
وبدون,And without
الرهائن,hostages
أسباب,Reasons
كلتا,both
ينتمي,Belongs to
فن,art
صلب,solid
عداد,counter
المخيم,camp
يساعدنا,Help us
تخفي,Hide
ينتظرون,They are waiting
لينكولن,Lincoln
ميراندا,Miranda
تصميم,design
وارد,Incoming
لنفعلها,Let's do it
العار,shame
يتواجد,It is present
الحوض,basin
الوزير,The Minister
احذر,Beware
إعداد,numbers
راسل,Russell
بامكانك,You can
رومان,Roman
الاحمق,idiot
تريني,Show me
التلاعب,manipulation
المحك,The touchstone
تكتشف,Discover
قصتك,Your story
تعرفت,I got to know
مؤتمر,conference
إنتظروا,Wait
ينفذ,Execute
أحدٍ,Someone
نيابة,Prosecution
مراراً,repeatedly
بديل,substitute
وقام,And he did
الساقطة,The fallen
شعوري,My feeling
بحثاً,Research
فرصتنا,Our opportunity
أهدأ,calm
اياه,Him
لقضاء,To spend
نفهم,We understand
مصلحة,an interest
لِماذا,Why?
الأستاذ,Professor
المعيشة,Living
حكيم,wise
يدفعون,They pay
ت,T
سأجلب,I will bring
أبكي,I cry
يريدني,He wants me
أمرًا,order
الخطوط,Lines
الحادية,Eleventh
تنزف,bleeding
السجائر,cigarettes
كشخص,As a person
الملعون,The cursed one
طالبة,student
مصر,Egypt
باك,Back
رأيكم,Your opinion
سأدخل,I will enter
سبباً,reason
كريستينا,Christina
النزيف,bleeding
متأخراً,late
يومان,Two days
ساكون,I will be
الرجوع,Back
للتعامل,To deal
كُنا,We were
بيرت,Bert
إنّنا,We are
عقوبة,penalty
التكنولوجيا,Technology
تقولينه,You say it
غياب,absence
بالظبط,Exactly
الخيال,imagination
بصحة,In health
يحلو,It is nice
أعتبر,consider
القرارات,Decisions
آوه,Oh
جوردان,Jordan
مطار,airport
السيّدة,Mrs
أحداث,events
ضعها,Put it
افعلي,Do it
جهة,side
أتوا,They came
لَكنَّه,But it is
حمقى,fools
لائحة,List
تأتين,You come
رأيتي,I saw you
شريحة,slice
أخطط,I plan
مريع,terrible
بالقوة,by force
تهمة,charge
الأجرة,fare
بريطانيا,Britain
ألي,to
سول,Sol
مواقع,Sites
ناري,My fire
فيكي,Vicky
تمازحني,You are kidding me
وعدتني,You promised me
سامحني,Pardon me
وتقول,And she says
ساندي,Sandy
ق,Q
النفسية,Psychological
كليا,entirely
القانونية,Legal
الصينية,Chinese
لبعضنا,For each other
الحلقات,Episodes
مؤقت,temporary
كنتى,You were
أكترث,I care
يبكي,He cries
حلّ,solution
الأراضي,lands
شعرها,Her hair
الإحساس,feeling
نمر,tiger
تخبرنى,tell me
السيده,Mrs
هاتفها,Her phone
بمفرده,alone
أظنها,I think so
بطبيعة,By nature
ديبي,Debbie
المسئول,responsible
مرتاح,comfortable
بإعادة,By returning
الجاذبية,Gravity
جذابة,attractive
دجاج,chickens
تستيقظ,wake up
تقريبًا,almost
نجده,help
الأقدام,feet
حياتكِ,Your life
أجلنا,We postponed
اساعدك,I help you
سيقول,He will say
ميغان,Megan
يجعلها,Makes it
لهما,For them
باوند,pound
يذكرني,Reminds me
وداعًا,Farewell
بعمق,Deeply
وأنتَ,And you
جوان,Joan
سأساعدك,I will help you
أفتقد,miss
قادرا,Able
مُنذ,since
المسرحية,The play
منكَ,From you
ليني,Lenny
الإعلام,Media
كونوا,Be
السلم,Peace
دفعة,batch
تشان,Chan
طويله,Long
نشرب,We drink
الإنفجار,explosion
خائن,traitor
عل,perhaps
مطلق,absolute
المظهر,Appearance
أحضروا,They brought
هاواي,Hawaii
تنمو,grow
للزواج,For marriage
الجدة,Grandmother
كلارا,Clara
وين,where
أبو,Abu
تخلص,Get rid of
الأوسط,Middle East
عدّة,several
تحرّك,move
موضع,position
والسادة,And gentlemen
تنظرين,You are looking
أخيرًا,finally
بعضا,Some
عرفنا,We knew
جعلته,I made it
مرتبط,linked
داريل,Daryl
متاكد,sure
تافه,trivial
دا,This
زهرة,flower
كسب,earn
دايمُن,Always
سبنسر,Spencer
لورد,Lord
أميرة,princess
كونها,Being
ليزي,Lizzy
موسكو,Moscow
يي,Yee
الصغيره,The little one
التأثير,Impact
فيونا,Fiona
موفقاً,Good luck
محترم,respected
اخبرتني,She told me
برؤية,With vision
ربط,link
كومة,pile
رب,lord
بال,Bal
ألهذا,Is this why?
عظام,bones
الصناعي,Industrial
ترقص,dancing
حَدثَ,It happened
النسخة,The version
بيكر,Baker
تركنا,We left
الخاطئة,wrong
أعلن,Announce
الشرقية,Eastern
لإحضار,To bring
ولما,And when
الأزياء,Fashion
شفرة,code
بالموضوع,On the subject
الخمسة,The five
حساء,soup
جيب,pocket
حرق,burn
يبعد,Far away
تظل,remain
خصوصا,especially
الوسيم,handsome
حظك,Your luck
بالملل,Bored
الابن,son
ندفع,We pay
كولين,Colin
الرصيف,sidewalk
الإيجار,rent
التهديد,threat
أنــا,I am
تؤذي,hurt
تفسد,spoil
أفهمك,I understand you
النفط,oil
أعز,Dearest
الخدمات,Services
اتخذت,I took
خطوات,steps
الأغاني,Songs
الضباط,Officers
وفقا,According to
لوحدنا,Alone
ارتدي,wear
قابلة,midwife
تدمر,Palmyra
لعيد,For Eid
بالاضافة,In addition
الاختيار,choice
انتظرت,I waited
هاورد,Howard
تزداد,It increases
ألى,to
رايموند,Raymond
أحذية,shoes
اخيرا,finally
نا,us
لفعله,To do it
مررنا,We passed by
مارلين,Marilyn
كاتي,Katie
عنق,neck
حصلتِ,You got it
شريف,Sharif
جميلا,Beautiful
وقفت,I stood
ثقيل,heavy
كاد,Almost
تسببت,Caused
دانيل,Daniel
رأيتم,You saw
يداك,Your hands
وليام,William
معلومة,Information
أمّا,But
نوعًا,Kind of
تفجير,bombing
ولذا,So
نقضي,We spend
انتظرى,Wait
حقيبتك,Your bag
فاتنة,luscious
تلمسني,Touch me
هونغ,Hong
باس,Bass
يُمكنكِ,You could
لتوي,Just now
أمرا,Order
سمعتي,My reputation
انسي,Forget it
اريك,Eric
دى,This is it
المحافظ,The governor
المغزى,The meaning
ظهور,appearance
مهلك,lethal
الدّكتور,Dr.
يسعني,I can
يتوقع,Expected
نيلسون,Nelson
هادئاً,calm
أرفض,I refuse
الجنوبي,Southern
أدوات,tools
باربرا,Barbara
سحرية,Magic
غيرك,Other than you
ثالث,third
نشاهد,We watch
تفهمي,Understand
.لم,.did not
موسم,season
سيأتون,They will come
شيلدون,Sheldon
بالبقاء,By staying
العريف,Corporal
يتذكر,remember
المغفل,The fool
تتحسن,getting better
العلامات,Signs
لمّ,did not
الخنازير,pigs
فريقك,Your team
الظهور,Appearance
ساقي,Saqi
نظره,look
منخفض,low
أخذنا,We took
دروس,Lessons
حليب,milk
ينزف,bleeding
عثرنا,We found
حصة,a class
سمعتها,I heard it
الأيسر,left
يالك,Hey
أتذكّر,I remember
السمين,fat
مجتمع,community
يتعامل,Deals
سليمة,healthy
ألو,Hello
توجب,It is necessary
يحق,It is right
السخيفة,The ridiculous
كورت,Kurt
عائلتها,Her family
إنّكِ,You are
مواد,Materials
جلد,leather
وثم,And then
يمشي,He walks
الجوي,Air
فرانكلين,Franklin
البطاقات,Cards
عندهم,They have
تستطيعون,You can
غابي,Gaby
سنغادر,We will leave
ارتفاع,to rise
قرد,monkey
مادي,material
تتكلمين,You are talking
يحل,solve
تسعى,Seeking
لايهم,It doesn't matter
ألان,now
حسنـًا,Okay
التعويذة,The spell
اقوله,I say it
أروع,The most wonderful
الهنود,Indians
للمدينة,To the city
لانس,Lance
باتمان,Batman
غرانت,Grant
الكوكايين,cocaine
الحقائب,Bags
ليزلي,Leslie
أنهيت,I finished
ممثلة,actress
نواجه,We face
حذائي,My shoes
تخرجي,My graduation
التاسع,Ninth
ادخلي,Come in
الإستخبارات,Intelligence
العزيزة,Dear
برينان,Brennan
تحبك,I love you
صادقاً,Honestly
الأسف,Regret
.في,.in
مثلهم,Like them
الأبرياء,innocent people
عدو,enemy
تتخيل,Imagine
ارتكبت,committed
شئت,You want
تمضي,Go on
إختفى,disappear
تهتمين,You care
مدام,Madam
تفعلونه,You do it
جدتك,Your grandmother
مختبر,laboratory
نظرك,Your view
الكهربائية,electrical
نفذت,Done
القديس,Saint
مرتفع,high
إبنتك,Your daughter
المعبد,The temple
مرّ,bitter
بإمكانها,She can
تيس,Goat
تتناول,It is taking
البابا,pope
الأربعاء,Wednesday
العلوم,the sciences
كيلو,kilo
نستمر,We continue
مورجان,Morgan
بأنّهم,That they
ثلج,snow
عديمة,useless
ستارك,Stark
ريتشي,Richie
أخبري,Tell me
أخذته,I took it
المدارس,schools
أغبياء,stupid
استدعاء,call
يمارس,Practice
سونيا,Sonia
العرش,The throne
أخذتها,I took it
يعيد,Restore
عادلة,Fair
مصنوعة,Made
انقاذ,rescue
تمطر,It's raining
لحفلة,For a party
بجميع,All
علمنا,We know
خسرنا,We lost
عسكرية,military
ستعرف,You will know
ولديه,He has
أبالي,I care
أيجب,Must
النمر,The tiger
للمستشفى,To the hospital
بالتفكير,Thinking
قتلتها,I killed her
ساعدت,helped
تلاحظ,Notice
أعطيه,Give it to him
باول,Powell
صغيرا,small
الأدوات,Tools
شريرة,Evil
ألهي,divine
اتريد,Do you want?
المفقودين,The missing
أدعى,I claim
الفئران,mice
وحيدا,alone
طœ,Tœ
غيري,Other than me
أحيانًا,sometimes
مصير,fate
الخارقة,Superhero
العب,I play
الصحي,Healthy
أبلغ,Report
استطعنا,We could
تدير,Manage
فعليك,You should
مملة,boring
بالمكان,In place
إحساس,sense
والدتكِ,Your mother
أمارس,I practice
تنظيم,to organize
هدايا,gifts
مور,Moore
اللصوص,thieves
البروفيسور,Professor
صناديق,boxes
المتهم,accused
المحققة,The investigator
رغبت,I wanted
الشخصيات,Characters
نتأكد,We make sure
الإختبار,The test
أعداء,enemies
قلها,Say it
كاملاً,Completely
لمس,touch
بيكي,Becky
النفايات,waste
الكهف,The cave
يتعين,It is necessary
تغني,singing
المستشار,Counselor
اتركه,Leave it
وعاء,a pot
لشركة,For the company
أحدث,Latest
منصب,post
الفرسان,Knights
الحساء,soup
المركب,The complex
المخلوق,The creature
أوقفوا,Stop
راقصة,dancer
وسادتي,My pillow
فيشر,Fisher
قطعاً,definitely
المصدر,Source
أمّك,Your mother
الطبخ,cooking
واثقاً,confident
العضلات,muscles
بدونه,Without him
الجنازة,funeral
جراء,puppies
جننت,I went crazy
لرؤيتي,To see me
وأي,And any
ثابت,fixed
هايلي,Hailey
يهمك,It matters to you
مقارنة,comparison
الاولاد,boys
وقتنا,Our time
اتوقع,I expect
تعامل,deal
بأنفسنا,By ourselves
أبله,sucker
البريطانية,British
فعلتم,You did
تقيم,Rate
اعتاد,He got used to it
بالقتل,By killing
لقب,nickname
لاس,Las
حادة,sharp
أصغي,listen
ظƒط,ظƒط
بوسعه,He can
تغيّر,change
مقزز,gross
حمايتك,Your protection
يأخذون,They take
الضرب,beating
حلوتي,My sweetheart
الاتصالات,Communications
ميّت,dead
با,With
اشترى,I buy
وفجأة,And suddenly
الغطاء,cover
أخسر,I lose
مساعدتكِ,Your help
كانغ,Kang
وأمي,And my mother
الكريسماس,Christmas
تجارة,commerce
الملكي,royalist
طلقات,shots
أحببتها,I loved it
المساعده,Help
العناء,The effort
بفعله,By his action
بريئة,innocent
دعينى,Let me
دويل,Doyle
سيتوجب,It will be necessary
مدخل,entrance
الإتفاق,Agreement
ضده,Against him
تقاتل,fight
أسمعي,Listen
للمال,For money
نيكولاس,Nicholas
الليالي,Nights
التضحية,sacrifice
العيادة,Clinic
وضعوا,They put
أخطاء,mistakes
أجعلك,I make you
للهجوم,to attack
غرفته,His room
يفضل,He prefers
واسع,wide
صحفي,journalist
اراد,He wanted
مقدمة,introduction
أعدت,Prepared
الفراغ,emptiness
يونج,Young
الوحيده,The only one
أتحمل,I can bear it
أجمع,Collect
حاسوب,computer
تواعد,Dating
يزعجك,It bothers you
ستخرج,You will go out
مختلفين,Different
الآمن,Safe
والكر,Walker
أعْمَلُ,Work
برمته,In its entirety
يحتفظ,Keeps
لتحقيق,To achieve
نسخ,copies
يقتلك,kills you
ساعدتني,You helped me
اهرب,Run away
المخ,brain
أفغانستان,Afghanistan
الفرنسي,French
دعهم,Let them
ننهي,We finish
أهل,People
باني,Builder
أستسلم,give up
التقارير,Reports
نثق,We trust
الأبله,idiot
حساس,sensitive
قميصك,Your shirt
ميليسا,Melissa
ظهره,His back
مضطر,forced
أرقص,dance
المؤتمر,The conference
ممتن,grateful
تغضب,get angry
والكثير,And a lot
بشرية,mankind
بشراء,By buying
يمضي,Going
هواء,air
انفجار,explosion
يعرض,Displays
الوسط,The middle
بإستخدام,Using
القوي,The strong
بإمكان,Can
الكولونيل,Colonel
للقتال,to fight
حرفياً,literally
البطاطا,potatoes
التقاط,Capture
قوموا,Get up
مشاركة,sharing
للرجال,For men
أتفقنا,We agreed
البطولة,Championship
اعلى,higher
ظن,thought
الشابة,young woman
الصناعية,Industrial
نهتم,We care
نسمح,We allow
النقاط,points
لِكي,in order to
معكَ,with you
تكبر,Grow up
لتصبح,To become
أرواح,souls
أبّي,my dad
سنصل,We will arrive
تحققت,It has been achieved
اللحظات,moments
أهلًا,Hello
تعرفى,Get to know
للجنون,To madness
إكس,X
أتود,I want to
فوكس,Fox
وثيقة,document
الفم,mouth
التعليمات,Instructions
بائع,vendor
يوليو,July
أقدّر,I can
ونرى,We see
العجلة,wheel
أولًا,Firstly
كلّه,entire
الجدول,table
الصداقة,friendship
لتقديم,To present
التفاح,Apple
لاأستطيع,I cannot
والجميع,And everyone
الناسِ,the people
غرض,purpose
حزب,party
المنظمة,The organization
فعلناه,We did it
الحمار,donkey
إتفاق,deal
أسعد,Happiest
زالوا,They are gone
جيدون,Good
يسرني,I am pleased
الصلب,steel
التخطيط,Planning
فال,omen
شرح,to explain
بطفل,With a child
لمقابلتك,To meet you
ألقيت,I threw
المستودع,warehouse
الغولف,golf
إنتهينا,We are done
الكائنات,creatures
تتصلي,You call
أَحتاجُ,I need
عينك,Your eye
هوك,Hook
بيكيت,Beckett
الركض,running
الحكمة,Wisdom
تفوز,You win
ديكس,Dix
بالي,Bali
صعبا,difficult
بسرقة,By stealing
مثلكِ,like you
لزيارة,To visit
جنسياً,sexually
الأطلاق,Launch
يحترق,burning
يدعي,He claims
استطاع,He was able to
أتمني,I hope
تنفجر,explode
مزيف,forged
تجنب,to avoid
هوليوود,Hollywood
إكتشفت,I discovered
ذاتها,The same
حظي,My luck
شعب,people
إستعادة,restoration
بالموت,By death
جسمك,Your body
جعة,beer
الساخن,hot
مفاجئ,sudden
قريبين,Close
شرعي,legitimate
الحالية,Current
والناس,And people
يشاهد,He watches
أفضّل,better
مقربة,Close
اقدم,I offer
مهووس,obsessed
طلاب,students
كأني,As if I
ضرباً,beating
أعطه,Give it to him
إنهـا,It is
يهتمون,They care
بحجم,Size
الفقراء,the poor
يحظى,Enjoys
مواصلة,Continue
مبالغ,amounts
الارجح,Most likely
ساذهب,I will go
معروفة,well-known
العمة,aunt
اختي,my sister
مساعدتكم,Your help
احترام,respect
ليونارد,Leonard
تَعمَلُ,You work
تكذبين,You are lying
المسلسل,The series
سّيد,sir
متعددة,Multiple
ايا,Oh
الدولية,International
جدك,Your grandfather
يشتري,He buys
ابدو,I look
رسلك,Your messengers
الكنز,The treasure
القضيّة,The case
شجار,fight
التوقيع,the signature
نزهة,picnic
تَكُونَ,Be
وجميع,And all
أتركه,Leave it
ستنتهي,It will end
جذاب,attractive
الأمنية,The wish
وضعك,Your situation
ألقى,threw
ظˆ,ظˆ
رحمة,mercy
قولك,Your saying
المنظر,The view
سمعتم,You heard
آليكس,Alex
الصناديق,Funds
أرَ,I see
مش,not
البطاطس,potato
منظر,view
كُنتِ,I was
بونز,Bones
الذهبي,Golden
اتفهم,I understand
أعطنى,Give me
ظروف,conditions
صديقته,His girlfriend
لأخبرك,To tell you
ذراعك,Your arm
وأخيراً,Finally
سمعتني,You heard me
واجبي,My duty
جثث,corpses
التنفيذي,Executive
يجرى,Running
تشا,Cha
ادري,I know
ذهني,mental
اخبرنى,Tell me
الإعلان,Advertisement
غرايس,Grace
أحضره,Bring it
غامض,mysterious
مشهورة,famous
تهدأ,Calm down
نناقش,We discuss
ويست,West
مثال,example
توفير,to provide
القضيب,penis
حصلوا,They got it
ديني,religious
المثل,proverb
الباردة,cold
روزي,Rosie
الثورة,revolution
العقلية,mentality
تقترح,Suggest
منتج,project
يفعلونه,They do it
إيف,Eve
استرخي,relax
باكراً,early
نطلق,We launch
يقبل,Accept
بجريمة,with a crime
مارست,I practiced
بورك,Blessed
بالمائة,percent
لأسفل,Down
كتابك,Your book
تجاهل,ignorance
استغرق,It took
ملكية,ownership
نولان,Nolan
الاخير,The last
مشغولاً,busy
فإننا,We
يؤسفني,I regret
نادر,rare
الأغبياء,stupid people
رجالنا,Our men
القطاع,sector
عاطفية,emotional
سيتي,City
كونر,Connor
كرين,Crane
فرص,Opportunities
مستقرة,Stable
افترض,assume
الجلسة,session
أرفع,Raise
الضوضاء,noise
يورك,York
المؤسف,unfortunate
يحصلون,They get
بأمكانك,You can
العقاب,punishment
الفضائية,satellite
تجاوزت,I exceeded
خطرة,Dangerous
والديّ,my father
شيءِ,something
دونالد,Donald
تصور,imagine
عليا,Aliya
سحقًا,Damn
خرجنا,We went out
يشكل,It constitutes
بركة,pond
سم,poison
إلاهي,My God
وبالتالي,Therefore
عينه,sample
ولكننى,But I
يجيب,Answer
فكّر,to think
دفاع,defense
لأى,For any
نبض,to throb
نشاط,activity
هاتفية,Telephone
اعطيني,Give me
الفتية,The boys
جوعاً,hungry
الوكيل,proxy
جانبك,By your side
حرية,freedom
يكتشف,discover
همم,Motivation
التيار,The current
حفنة,handful
الملائكة,Angels
قلعة,fort
تحاولي,You try
الشيءِ,The thing
فينسنت,Vincent
تمهلي,Take your time
يتمّ,It is done
سمعتِ,I heard
سنعمل,We will work
غداء,lunch
تفعليه,Activate it
رأيتهم,I saw them
نلقي,We throw
وضعته,I put it
صدق,sincerity
زوجين,couple
الكوخ,The hut
منافسة,competition
خدمات,Services
جدوى,feasibility
يَعْرفُ,He knows
ملكك,Yours
صديقاً,friend
اضع,I put
للسخرية,To mock
أثار,antiquities
السخيف,The ridiculous
ستصل,You will arrive
الكبد,liver
أذهبي,Go
الحقّ,The right
الامن,Security
الشمبانيا,Champagne
الصعبة,difficult
الحملة,The campaign
الصبر,patience
